employee,manager
emily@lattice.com,jzac@lattice.com
parker@lattice.com,dini@lattice.com
grant@lattice.com,jzac@lattice.com
ross@lattice.com,dini@lattice.com
ryan@lattice.com,ming@lattice.com
seth@lattice.com,dini@lattice.com
elise@lattice.com,jared@lattice.com
byron@lattice.com,andrew@lattice.com
joan@lattice.com,andrew@lattice.com
joe@lattice.com,dini@lattice.com
bill@lattice.com,andrew@lattice.com
alysa@lattice.com,dini@lattice.com
godefroy@lattice.com,grant@lattice.com
katie@lattice.com,emily@lattice.com
anthony@lattice.com,brian@lattice.com
riki@lattice.com,dini@lattice.com
sulagna@lattice.com,alex@lattice.com
libby@lattice.com,brian@lattice.com
justin@lattice.com,dini@lattice.com
alex@lattice.com,jzac@lattice.com
jack@lattice.com,
jamie@lattice.com,jzac@lattice.com
jzac@lattice.com,jack@lattice.com
elliot@lattice.com,jared@lattice.com
caroline@lattice.com,grant@lattice.com
patty@lattice.com,jzac@lattice.com
ricky@lattice.com,andrew@lattice.com
brian@lattice.com,dini@lattice.com
hanna@lattice.com,grant@lattice.com
adnan@lattice.com,andrew@lattice.com
fiona@lattice.com,brian@lattice.com
laura@lattice.com,grant@lattice.com
val@lattice.com,dini@lattice.com
christina@lattice.com,grant@lattice.com
haley@lattice.com,dini@lattice.com
kevin@lattice.com,dini@lattice.com
jared@lattice.com,eric@lattice.com
luc@lattice.com,jared@lattice.com
madison@lattice.com,emily@lattice.com
jo@lattice.com,andrew@lattice.com
hanford@lattice.com,andrew@lattice.com
ming@lattice.com,eric@lattice.com
kyle@lattice.com,brian@lattice.com
dini@lattice.com,jack@lattice.com
andrew@lattice.com,eric@lattice.com
tyler@lattice.com,grant@lattice.com
erin@lattice.com,alex@lattice.com
nate@lattice.com,grant@lattice.com
charlie@lattice.com,alex@lattice.com
eric@lattice.com,ricky@lattice.com
jacob@lattice.com,brian@lattice.com
