employee,manager
emily@company.com,jzac@company.com
parker@company.com,dini@company.com
grant@company.com,jzac@company.com
ross@company.com,dini@company.com
ryan@company.com,ming@company.com
seth@company.com,dini@company.com
elise@company.com,jared@company.com
byron@company.com,andrew@company.com
joan@company.com,andrew@company.com
joe@company.com,dini@company.com
bill@company.com,andrew@company.com
alysa@company.com,dini@company.com
godefroy@company.com,grant@company.com
katie@company.com,emily@company.com
anthony@company.com,brian@company.com
riki@company.com,dini@company.com
sulagna@company.com,alex@company.com
libby@company.com,brian@company.com
justin@company.com,dini@company.com
alex@company.com,jzac@company.com
jack@company.com,
jamie@company.com,jzac@company.com
jzac@company.com,jack@company.com
elliot@company.com,jared@company.com
caroline@company.com,grant@company.com
patty@company.com,jzac@company.com
ricky@company.com,andrew@company.com
brian@company.com,dini@company.com
hanna@company.com,grant@company.com
adnan@company.com,andrew@company.com
fiona@company.com,brian@company.com
laura@company.com,grant@company.com
val@company.com,dini@company.com
christina@company.com,grant@company.com
haley@company.com,dini@company.com
kevin@company.com,dini@company.com
jared@company.com,eric@company.com
luc@company.com,jared@company.com
madison@company.com,emily@company.com
jo@company.com,andrew@company.com
hanford@company.com,andrew@company.com
ming@company.com,eric@company.com
kyle@company.com,brian@company.com
dini@company.com,jack@company.com
andrew@company.com,eric@company.com
tyler@company.com,grant@company.com
erin@company.com,alex@company.com
nate@company.com,grant@company.com
charlie@company.com,alex@company.com
eric@company.com,jack@company.com
jacob@company.com,brian@company.com
